year,round,circuit_name,driver_code,finish_position,grid_position,status,points,dnf
2026,1,Melbourne,RUS,1.0,1.0,Finished,25.0,0
2026,1,Melbourne,ANT,2.0,2.0,Finished,18.0,0
2026,1,Melbourne,LEC,3.0,4.0,Finished,15.0,0
2026,1,Melbourne,HAM,4.0,7.0,Finished,12.0,0
2026,1,Melbourne,NOR,5.0,6.0,Finished,10.0,0
2026,1,Melbourne,VER,6.0,20.0,Finished,8.0,0
2026,1,Melbourne,BEA,7.0,12.0,Lapped,6.0,0
2026,1,Melbourne,LIN,8.0,9.0,Lapped,4.0,0
2026,1,Melbourne,BOR,9.0,10.0,Lapped,2.0,0
2026,1,Melbourne,GAS,10.0,14.0,Lapped,1.0,0
2026,1,Melbourne,OCO,11.0,13.0,Lapped,0.0,0
2026,1,Melbourne,ALB,12.0,15.0,Lapped,0.0,0
2026,1,Melbourne,LAW,13.0,8.0,Lapped,0.0,0
2026,1,Melbourne,COL,14.0,16.0,Lapped,0.0,0
2026,1,Melbourne,SAI,15.0,21.0,Lapped,0.0,0
2026,1,Melbourne,PER,16.0,18.0,Lapped,0.0,0
2026,1,Melbourne,STR,17.0,22.0,Lapped,0.0,0
2026,1,Melbourne,ALO,18.0,17.0,Retired,0.0,1
2026,1,Melbourne,BOT,19.0,19.0,Retired,0.0,1
2026,1,Melbourne,HAD,20.0,3.0,Retired,0.0,1
2026,1,Melbourne,PIA,21.0,5.0,Did not start,0.0,1
2026,1,Melbourne,HUL,22.0,11.0,Did not start,0.0,1
2026,2,Shanghai,ANT,1.0,1.0,Finished,25.0,0
2026,2,Shanghai,RUS,2.0,2.0,Finished,18.0,0
2026,2,Shanghai,HAM,3.0,3.0,Finished,15.0,0
2026,2,Shanghai,LEC,4.0,4.0,Finished,12.0,0
2026,2,Shanghai,BEA,5.0,10.0,Finished,10.0,0
2026,2,Shanghai,GAS,6.0,7.0,Finished,8.0,0
2026,2,Shanghai,LAW,7.0,14.0,Finished,6.0,0
2026,2,Shanghai,HAD,8.0,9.0,Finished,4.0,0
2026,2,Shanghai,SAI,9.0,17.0,Lapped,2.0,0
2026,2,Shanghai,COL,10.0,12.0,Lapped,1.0,0
2026,2,Shanghai,HUL,11.0,11.0,Lapped,0.0,0
2026,2,Shanghai,LIN,12.0,15.0,Lapped,0.0,0
2026,2,Shanghai,BOT,13.0,19.0,Lapped,0.0,0
2026,2,Shanghai,OCO,14.0,13.0,Lapped,0.0,0
2026,2,Shanghai,PER,15.0,21.0,Lapped,0.0,0
2026,2,Shanghai,VER,16.0,8.0,Retired,0.0,1
2026,2,Shanghai,ALO,17.0,18.0,Retired,0.0,1
2026,2,Shanghai,STR,18.0,20.0,Retired,0.0,1
2026,2,Shanghai,PIA,19.0,5.0,Did not start,0.0,1
2026,2,Shanghai,NOR,20.0,6.0,Did not start,0.0,1
2026,2,Shanghai,BOR,21.0,16.0,Did not start,0.0,1
2026,2,Shanghai,ALB,22.0,22.0,Did not start,0.0,1
2026,3,Suzuka,ANT,1.0,1.0,Finished,25.0,0
